,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-db242
1,4,True,0,0,21,north,AYO-db242
2,5,True,0,0,,north,AYO-db242
3,6,,0,0,,north,AYO-db242
4,2,,0,0,,north,AYO-db242
5,3,,0,0,,north,AYO-db242
6,5,,0,0,,north,AYO-db242
7,1,,0,0,,north,AYO-db242
8,4,,0,0,,north,AYO-db242
9,6,,0,0,,north,AYO-db242
10,3,,0,0,,north,AYO-db242
11,2,,0,0,,north,AYO-db242
0,2,True,0,0,0,south,AYO-db242
1,3,True,0,0,27,south,AYO-db242
2,1,True,0,0,,south,AYO-db242
3,6,True,0,0,,south,AYO-db242
4,4,True,0,0,,south,AYO-db242
5,3,True,0,0,,south,AYO-db242
6,5,True,0,0,,south,AYO-db242
7,4,,0,0,,south,AYO-db242
8,5,,0,0,,south,AYO-db242
9,2,,0,0,,south,AYO-db242
10,6,,0,0,,south,AYO-db242
11,5,,0,0,,south,AYO-db242
12,6,,0,0,,south,AYO-db242
13,4,,0,0,,south,AYO-db242
14,5,,0,0,,south,AYO-db242
15,6,,1,0,,south,AYO-db242
