,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-81389
1,4,True,0,0,18,north,AYO-81389
2,5,True,0,0,,north,AYO-81389
3,6,True,0,0,,north,AYO-81389
4,2,,0,0,,north,AYO-81389
5,3,,0,0,,north,AYO-81389
6,5,,0,0,,north,AYO-81389
7,1,,0,0,,north,AYO-81389
8,4,,0,0,,north,AYO-81389
9,6,,0,0,,north,AYO-81389
10,5,,0,0,,north,AYO-81389
11,6,,0,0,,north,AYO-81389
12,3,,0,0,,north,AYO-81389
13,4,,0,0,,north,AYO-81389
14,5,,0,0,,north,AYO-81389
0,2,True,0,0,0,south,AYO-81389
1,3,True,0,0,30,south,AYO-81389
2,1,True,0,0,,south,AYO-81389
3,6,True,0,0,,south,AYO-81389
4,4,True,0,0,,south,AYO-81389
5,3,True,0,0,,south,AYO-81389
6,5,True,0,0,,south,AYO-81389
7,4,True,0,0,,south,AYO-81389
8,5,,0,0,,south,AYO-81389
9,2,,0,0,,south,AYO-81389
10,6,,0,0,,south,AYO-81389
11,5,,0,0,,south,AYO-81389
12,6,,0,0,,south,AYO-81389
13,4,,0,0,,south,AYO-81389
14,3,,0,0,,south,AYO-81389
15,5,,0,0,,south,AYO-81389
16,6,,0,0,,south,AYO-81389
17,1,,0,0,,south,AYO-81389
18,2,,1,0,,south,AYO-81389
