,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-522c3
1,4,True,0,0,16,north,AYO-522c3
2,5,True,0,0,,north,AYO-522c3
3,6,True,0,0,,north,AYO-522c3
4,2,True,0,0,,north,AYO-522c3
5,5,,0,0,,north,AYO-522c3
6,4,,0,0,,north,AYO-522c3
7,1,,0,0,,north,AYO-522c3
8,5,,0,0,,north,AYO-522c3
9,6,,0,0,,north,AYO-522c3
10,4,,0,0,,north,AYO-522c3
11,3,,0,0,,north,AYO-522c3
12,5,,0,0,,north,AYO-522c3
13,6,,0,0,,north,AYO-522c3
14,4,,0,0,,north,AYO-522c3
15,2,,0,0,,north,AYO-522c3
0,2,True,0,0,0,south,AYO-522c3
1,3,True,0,0,32,south,AYO-522c3
2,1,True,0,0,,south,AYO-522c3
3,6,True,0,0,,south,AYO-522c3
4,4,True,0,0,,south,AYO-522c3
5,3,True,0,0,,south,AYO-522c3
6,5,True,0,0,,south,AYO-522c3
7,4,True,0,0,,south,AYO-522c3
8,5,,0,0,,south,AYO-522c3
9,2,,0,0,,south,AYO-522c3
10,4,,0,0,,south,AYO-522c3
11,5,,0,0,,south,AYO-522c3
12,6,,0,0,,south,AYO-522c3
13,3,,0,0,,south,AYO-522c3
14,5,,0,0,,south,AYO-522c3
15,6,,0,0,,south,AYO-522c3
16,4,,0,0,,south,AYO-522c3
17,5,,0,0,,south,AYO-522c3
18,6,,1,0,,south,AYO-522c3
