,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-9fd23
1,4,True,0,0,23,north,AYO-9fd23
2,5,True,0,0,,north,AYO-9fd23
3,6,True,0,0,,north,AYO-9fd23
4,1,True,0,0,,north,AYO-9fd23
5,2,,0,0,,north,AYO-9fd23
6,6,,0,0,,north,AYO-9fd23
7,5,,0,0,,north,AYO-9fd23
8,3,,0,0,,north,AYO-9fd23
9,4,,0,0,,north,AYO-9fd23
10,6,,0,0,,north,AYO-9fd23
11,5,,0,0,,north,AYO-9fd23
12,6,,1,0,,north,AYO-9fd23
0,2,True,0,0,0,south,AYO-9fd23
1,3,True,0,0,25,south,AYO-9fd23
2,1,True,0,0,,south,AYO-9fd23
3,6,True,0,0,,south,AYO-9fd23
4,4,True,0,0,,south,AYO-9fd23
5,3,True,0,0,,south,AYO-9fd23
6,5,True,0,0,,south,AYO-9fd23
7,4,,0,0,,south,AYO-9fd23
8,5,,0,0,,south,AYO-9fd23
9,6,,0,0,,south,AYO-9fd23
10,3,,0,0,,south,AYO-9fd23
11,5,,0,0,,south,AYO-9fd23
12,6,,0,0,,south,AYO-9fd23
13,4,,0,0,,south,AYO-9fd23
