,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-9e702
1,4,True,0,0,23,north,AYO-9e702
2,5,True,0,0,,north,AYO-9e702
3,6,True,0,0,,north,AYO-9e702
4,1,True,0,0,,north,AYO-9e702
5,2,,0,0,,north,AYO-9e702
6,6,,0,0,,north,AYO-9e702
7,4,,0,0,,north,AYO-9e702
8,5,,0,0,,north,AYO-9e702
9,6,,0,0,,north,AYO-9e702
10,3,,0,0,,north,AYO-9e702
11,4,,0,0,,north,AYO-9e702
12,5,,0,0,,north,AYO-9e702
13,6,,1,0,,north,AYO-9e702
0,2,True,0,0,0,south,AYO-9e702
1,3,True,0,0,25,south,AYO-9e702
2,1,True,0,0,,south,AYO-9e702
3,6,True,0,0,,south,AYO-9e702
4,4,True,0,0,,south,AYO-9e702
5,3,True,0,0,,south,AYO-9e702
6,5,True,0,0,,south,AYO-9e702
7,4,,0,0,,south,AYO-9e702
8,5,,0,0,,south,AYO-9e702
9,6,,0,0,,south,AYO-9e702
10,4,,0,0,,south,AYO-9e702
11,5,,0,0,,south,AYO-9e702
12,6,,0,0,,south,AYO-9e702
13,3,,0,0,,south,AYO-9e702
14,5,,0,0,,south,AYO-9e702
