,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-27451
1,4,True,0,0,15,north,AYO-27451
2,5,True,0,0,,north,AYO-27451
3,6,True,0,0,,north,AYO-27451
4,1,True,0,0,,north,AYO-27451
5,2,,0,0,,north,AYO-27451
6,6,,0,0,,north,AYO-27451
7,3,,0,0,,north,AYO-27451
8,4,,0,0,,north,AYO-27451
9,6,,0,0,,north,AYO-27451
10,5,,0,0,,north,AYO-27451
11,6,,1,0,,north,AYO-27451
0,2,True,0,0,0,south,AYO-27451
1,3,True,0,0,33,south,AYO-27451
2,1,True,0,0,,south,AYO-27451
3,6,True,0,0,,south,AYO-27451
4,4,True,0,0,,south,AYO-27451
5,3,,0,0,,south,AYO-27451
6,5,,0,0,,south,AYO-27451
7,4,,0,0,,south,AYO-27451
8,5,,0,0,,south,AYO-27451
9,6,,0,0,,south,AYO-27451
10,2,,0,0,,south,AYO-27451
