,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-dcbcc
1,4,True,0,0,13,north,AYO-dcbcc
2,5,True,0,0,,north,AYO-dcbcc
3,6,True,0,0,,north,AYO-dcbcc
4,2,True,0,0,,north,AYO-dcbcc
5,1,,0,0,,north,AYO-dcbcc
6,5,,0,0,,north,AYO-dcbcc
7,6,,0,0,,north,AYO-dcbcc
8,3,,0,0,,north,AYO-dcbcc
9,4,,0,0,,north,AYO-dcbcc
10,5,,0,0,,north,AYO-dcbcc
11,6,,0,0,,north,AYO-dcbcc
12,2,,0,0,,north,AYO-dcbcc
13,3,,0,0,,north,AYO-dcbcc
0,2,True,0,0,0,south,AYO-dcbcc
1,3,True,0,0,35,south,AYO-dcbcc
2,1,True,0,0,,south,AYO-dcbcc
3,6,True,0,0,,south,AYO-dcbcc
4,4,True,0,0,,south,AYO-dcbcc
5,3,True,0,0,,south,AYO-dcbcc
6,5,True,0,0,,south,AYO-dcbcc
7,4,True,0,0,,south,AYO-dcbcc
8,5,True,0,0,,south,AYO-dcbcc
9,2,True,0,0,,south,AYO-dcbcc
10,6,True,0,0,,south,AYO-dcbcc
11,5,,0,0,,south,AYO-dcbcc
12,6,,0,0,,south,AYO-dcbcc
13,1,,0,0,,south,AYO-dcbcc
14,3,,0,0,,south,AYO-dcbcc
15,5,,0,0,,south,AYO-dcbcc
16,4,,0,0,,south,AYO-dcbcc
17,5,,0,0,,south,AYO-dcbcc
18,6,,0,0,,south,AYO-dcbcc
19,2,,1,0,,south,AYO-dcbcc
