,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-788d6
1,4,True,0,0,21,north,AYO-788d6
2,5,True,0,0,,north,AYO-788d6
3,6,True,0,0,,north,AYO-788d6
4,1,True,0,0,,north,AYO-788d6
5,2,True,0,0,,north,AYO-788d6
6,6,,0,0,,north,AYO-788d6
7,5,,0,0,,north,AYO-788d6
8,4,,0,0,,north,AYO-788d6
9,6,,0,0,,north,AYO-788d6
10,3,,0,0,,north,AYO-788d6
11,5,,0,0,,north,AYO-788d6
12,6,,0,0,,north,AYO-788d6
13,4,,0,0,,north,AYO-788d6
14,5,,1,0,,north,AYO-788d6
0,2,True,0,0,0,south,AYO-788d6
1,3,True,0,0,27,south,AYO-788d6
2,1,True,0,0,,south,AYO-788d6
3,6,True,0,0,,south,AYO-788d6
4,4,True,0,0,,south,AYO-788d6
5,3,True,0,0,,south,AYO-788d6
6,5,True,0,0,,south,AYO-788d6
7,4,True,0,0,,south,AYO-788d6
8,5,True,0,0,,south,AYO-788d6
9,6,,0,0,,south,AYO-788d6
10,3,,0,0,,south,AYO-788d6
11,5,,0,0,,south,AYO-788d6
12,6,,0,0,,south,AYO-788d6
13,2,,0,0,,south,AYO-788d6
14,4,,0,0,,south,AYO-788d6
15,5,,0,0,,south,AYO-788d6
16,6,,0,0,,south,AYO-788d6
