,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-d812f
1,4,True,0,0,23,north,AYO-d812f
2,5,True,0,0,,north,AYO-d812f
3,6,True,0,0,,north,AYO-d812f
4,1,True,0,0,,north,AYO-d812f
5,2,,0,0,,north,AYO-d812f
6,6,,0,0,,north,AYO-d812f
7,5,,0,0,,north,AYO-d812f
8,3,,0,0,,north,AYO-d812f
9,4,,0,0,,north,AYO-d812f
10,6,,0,0,,north,AYO-d812f
11,5,,0,0,,north,AYO-d812f
12,6,,1,0,,north,AYO-d812f
0,2,True,0,0,0,south,AYO-d812f
1,3,True,0,0,25,south,AYO-d812f
2,1,True,0,0,,south,AYO-d812f
3,6,True,0,0,,south,AYO-d812f
4,4,True,0,0,,south,AYO-d812f
5,3,True,0,0,,south,AYO-d812f
6,5,True,0,0,,south,AYO-d812f
7,4,,0,0,,south,AYO-d812f
8,5,,0,0,,south,AYO-d812f
9,6,,0,0,,south,AYO-d812f
10,4,,0,0,,south,AYO-d812f
11,5,,0,0,,south,AYO-d812f
12,6,,0,0,,south,AYO-d812f
13,3,,0,0,,south,AYO-d812f
