,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-85aca
1,4,True,0,0,15,north,AYO-85aca
2,5,True,0,0,,north,AYO-85aca
3,6,True,0,0,,north,AYO-85aca
4,1,True,0,0,,north,AYO-85aca
5,2,,0,0,,north,AYO-85aca
6,6,,0,0,,north,AYO-85aca
7,3,,0,0,,north,AYO-85aca
8,4,,0,0,,north,AYO-85aca
9,6,,0,0,,north,AYO-85aca
10,5,,0,0,,north,AYO-85aca
11,6,,1,0,,north,AYO-85aca
0,2,True,0,0,0,south,AYO-85aca
1,3,True,0,0,33,south,AYO-85aca
2,1,True,0,0,,south,AYO-85aca
3,6,True,0,0,,south,AYO-85aca
4,4,True,0,0,,south,AYO-85aca
5,3,,0,0,,south,AYO-85aca
6,5,,0,0,,south,AYO-85aca
7,4,,0,0,,south,AYO-85aca
8,5,,0,0,,south,AYO-85aca
9,6,,0,0,,south,AYO-85aca
10,4,,0,0,,south,AYO-85aca
