,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-7a4c5
1,4,True,0,0,20,north,AYO-7a4c5
2,5,True,0,0,,north,AYO-7a4c5
3,6,True,0,0,,north,AYO-7a4c5
4,2,True,0,0,,north,AYO-7a4c5
5,4,,0,0,,north,AYO-7a4c5
6,5,,0,0,,north,AYO-7a4c5
7,6,,0,0,,north,AYO-7a4c5
8,1,,0,0,,north,AYO-7a4c5
9,5,,0,0,,north,AYO-7a4c5
10,3,,0,0,,north,AYO-7a4c5
11,4,,0,0,,north,AYO-7a4c5
12,5,,0,0,,north,AYO-7a4c5
13,6,,0,0,,north,AYO-7a4c5
14,2,,0,0,,north,AYO-7a4c5
15,3,,0,0,,north,AYO-7a4c5
16,4,,0,0,,north,AYO-7a4c5
17,5,,0,0,,north,AYO-7a4c5
0,2,True,0,0,0,south,AYO-7a4c5
1,3,True,0,0,28,south,AYO-7a4c5
2,1,True,0,0,,south,AYO-7a4c5
3,6,True,0,0,,south,AYO-7a4c5
4,4,True,0,0,,south,AYO-7a4c5
5,3,True,0,0,,south,AYO-7a4c5
6,5,True,0,0,,south,AYO-7a4c5
7,4,True,0,0,,south,AYO-7a4c5
8,5,True,0,0,,south,AYO-7a4c5
9,2,True,0,0,,south,AYO-7a4c5
10,6,,0,0,,south,AYO-7a4c5
11,5,,0,0,,south,AYO-7a4c5
12,6,,0,0,,south,AYO-7a4c5
13,2,,0,0,,south,AYO-7a4c5
14,3,,0,0,,south,AYO-7a4c5
15,4,,0,0,,south,AYO-7a4c5
16,5,,0,0,,south,AYO-7a4c5
17,6,,0,0,,south,AYO-7a4c5
18,2,,0,0,,south,AYO-7a4c5
19,3,,0,0,,south,AYO-7a4c5
20,4,,0,0,,south,AYO-7a4c5
21,5,,0,0,,south,AYO-7a4c5
22,6,,1,0,,south,AYO-7a4c5
