,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-97d15
1,4,True,0,0,18,north,AYO-97d15
2,5,True,0,0,,north,AYO-97d15
3,6,,0,0,,north,AYO-97d15
4,2,,0,0,,north,AYO-97d15
5,5,,0,0,,north,AYO-97d15
6,4,,0,0,,north,AYO-97d15
7,3,,0,0,,north,AYO-97d15
8,1,,0,0,,north,AYO-97d15
9,5,,0,0,,north,AYO-97d15
10,6,,0,0,,north,AYO-97d15
11,4,,0,0,,north,AYO-97d15
0,2,True,0,0,0,south,AYO-97d15
1,3,True,0,0,30,south,AYO-97d15
2,1,True,0,0,,south,AYO-97d15
3,6,True,0,0,,south,AYO-97d15
4,4,True,0,0,,south,AYO-97d15
5,3,True,0,0,,south,AYO-97d15
6,5,,0,0,,south,AYO-97d15
7,4,,0,0,,south,AYO-97d15
8,5,,0,0,,south,AYO-97d15
9,2,,0,0,,south,AYO-97d15
10,5,,0,0,,south,AYO-97d15
11,6,,0,0,,south,AYO-97d15
12,4,,0,0,,south,AYO-97d15
13,5,,0,0,,south,AYO-97d15
14,6,,1,0,,south,AYO-97d15
