,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-8e056
1,4,True,0,0,21,north,AYO-8e056
2,5,True,0,0,,north,AYO-8e056
3,6,True,0,0,,north,AYO-8e056
4,1,True,0,0,,north,AYO-8e056
5,2,,0,0,,north,AYO-8e056
6,6,,0,0,,north,AYO-8e056
7,5,,0,0,,north,AYO-8e056
8,4,,0,0,,north,AYO-8e056
9,6,,0,0,,north,AYO-8e056
10,5,,0,0,,north,AYO-8e056
11,6,,0,0,,north,AYO-8e056
12,3,,0,0,,north,AYO-8e056
13,5,,0,0,,north,AYO-8e056
14,4,,0,0,,north,AYO-8e056
15,5,,0,0,,north,AYO-8e056
16,6,,1,0,,north,AYO-8e056
0,2,True,0,0,0,south,AYO-8e056
1,3,True,0,0,27,south,AYO-8e056
2,1,True,0,0,,south,AYO-8e056
3,6,True,0,0,,south,AYO-8e056
4,4,True,0,0,,south,AYO-8e056
5,3,True,0,0,,south,AYO-8e056
6,5,True,0,0,,south,AYO-8e056
7,4,True,0,0,,south,AYO-8e056
8,5,True,0,0,,south,AYO-8e056
9,6,,0,0,,south,AYO-8e056
10,3,,0,0,,south,AYO-8e056
11,5,,0,0,,south,AYO-8e056
12,6,,0,0,,south,AYO-8e056
13,2,,0,0,,south,AYO-8e056
14,4,,0,0,,south,AYO-8e056
15,5,,0,0,,south,AYO-8e056
16,6,,0,0,,south,AYO-8e056
17,3,,0,0,,south,AYO-8e056
18,4,,0,0,,south,AYO-8e056
19,5,,0,0,,south,AYO-8e056
