,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-0ab5b
1,4,True,0,0,23,north,AYO-0ab5b
2,5,True,0,0,,north,AYO-0ab5b
3,6,True,0,0,,north,AYO-0ab5b
4,1,True,0,0,,north,AYO-0ab5b
5,2,,0,0,,north,AYO-0ab5b
6,6,,0,0,,north,AYO-0ab5b
7,4,,0,0,,north,AYO-0ab5b
8,5,,0,0,,north,AYO-0ab5b
9,6,,0,0,,north,AYO-0ab5b
10,3,,0,0,,north,AYO-0ab5b
11,4,,0,0,,north,AYO-0ab5b
12,5,,0,0,,north,AYO-0ab5b
13,6,,1,0,,north,AYO-0ab5b
0,2,True,0,0,0,south,AYO-0ab5b
1,3,True,0,0,25,south,AYO-0ab5b
2,1,True,0,0,,south,AYO-0ab5b
3,6,True,0,0,,south,AYO-0ab5b
4,4,True,0,0,,south,AYO-0ab5b
5,3,True,0,0,,south,AYO-0ab5b
6,5,,0,0,,south,AYO-0ab5b
7,4,,0,0,,south,AYO-0ab5b
8,5,,0,0,,south,AYO-0ab5b
9,6,,0,0,,south,AYO-0ab5b
10,5,,0,0,,south,AYO-0ab5b
11,6,,0,0,,south,AYO-0ab5b
12,4,,0,0,,south,AYO-0ab5b
13,5,,0,0,,south,AYO-0ab5b
