,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-e0467
1,4,True,0,0,23,north,AYO-e0467
2,5,True,0,0,,north,AYO-e0467
3,6,True,0,0,,north,AYO-e0467
4,1,True,0,0,,north,AYO-e0467
5,2,,0,0,,north,AYO-e0467
6,6,,0,0,,north,AYO-e0467
7,4,,0,0,,north,AYO-e0467
8,5,,0,0,,north,AYO-e0467
9,6,,0,0,,north,AYO-e0467
10,3,,0,0,,north,AYO-e0467
11,4,,0,0,,north,AYO-e0467
12,5,,0,0,,north,AYO-e0467
13,6,,1,0,,north,AYO-e0467
0,2,True,0,0,0,south,AYO-e0467
1,3,True,0,0,25,south,AYO-e0467
2,1,True,0,0,,south,AYO-e0467
3,6,True,0,0,,south,AYO-e0467
4,4,True,0,0,,south,AYO-e0467
5,3,True,0,0,,south,AYO-e0467
6,5,,0,0,,south,AYO-e0467
7,4,,0,0,,south,AYO-e0467
8,5,,0,0,,south,AYO-e0467
9,6,,0,0,,south,AYO-e0467
10,5,,0,0,,south,AYO-e0467
11,6,,0,0,,south,AYO-e0467
12,3,,0,0,,south,AYO-e0467
13,5,,0,0,,south,AYO-e0467
