,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-c5522
1,4,True,0,0,23,north,AYO-c5522
2,5,True,0,0,,north,AYO-c5522
3,6,True,0,0,,north,AYO-c5522
4,1,True,0,0,,north,AYO-c5522
5,2,,0,0,,north,AYO-c5522
6,6,,0,0,,north,AYO-c5522
7,4,,0,0,,north,AYO-c5522
8,5,,0,0,,north,AYO-c5522
9,6,,0,0,,north,AYO-c5522
10,3,,0,0,,north,AYO-c5522
11,4,,0,0,,north,AYO-c5522
12,5,,0,0,,north,AYO-c5522
13,6,,1,0,,north,AYO-c5522
0,2,True,0,0,0,south,AYO-c5522
1,3,True,0,0,25,south,AYO-c5522
2,1,True,0,0,,south,AYO-c5522
3,6,True,0,0,,south,AYO-c5522
4,4,True,0,0,,south,AYO-c5522
5,3,True,0,0,,south,AYO-c5522
6,5,True,0,0,,south,AYO-c5522
7,4,,0,0,,south,AYO-c5522
8,5,,0,0,,south,AYO-c5522
9,6,,0,0,,south,AYO-c5522
10,4,,0,0,,south,AYO-c5522
11,5,,0,0,,south,AYO-c5522
12,6,,0,0,,south,AYO-c5522
13,3,,0,0,,south,AYO-c5522
14,4,,0,0,,south,AYO-c5522
