,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-0811f
1,4,True,0,0,17,north,AYO-0811f
2,5,True,0,0,,north,AYO-0811f
3,6,True,0,0,,north,AYO-0811f
4,2,True,0,0,,north,AYO-0811f
5,4,,0,0,,north,AYO-0811f
6,5,,0,0,,north,AYO-0811f
7,6,,0,0,,north,AYO-0811f
8,3,,0,0,,north,AYO-0811f
9,1,,0,0,,north,AYO-0811f
10,3,,0,0,,north,AYO-0811f
11,2,,0,0,,north,AYO-0811f
12,4,,0,0,,north,AYO-0811f
13,6,,0,0,,north,AYO-0811f
14,5,,0,0,,north,AYO-0811f
15,6,,0,0,,north,AYO-0811f
16,3,,0,0,,north,AYO-0811f
17,4,,0,0,,north,AYO-0811f
18,5,,0,0,,north,AYO-0811f
19,6,,1,0,,north,AYO-0811f
0,2,True,0,0,0,south,AYO-0811f
1,3,True,0,0,31,south,AYO-0811f
2,1,True,0,0,,south,AYO-0811f
3,6,True,0,0,,south,AYO-0811f
4,4,True,0,0,,south,AYO-0811f
5,3,True,0,0,,south,AYO-0811f
6,5,True,0,0,,south,AYO-0811f
7,4,True,0,0,,south,AYO-0811f
8,5,True,0,0,,south,AYO-0811f
9,2,True,0,0,,south,AYO-0811f
10,6,,0,0,,south,AYO-0811f
11,5,,0,0,,south,AYO-0811f
12,6,,0,0,,south,AYO-0811f
13,1,,0,0,,south,AYO-0811f
14,4,,0,0,,south,AYO-0811f
15,5,,0,0,,south,AYO-0811f
16,6,,0,0,,south,AYO-0811f
17,1,,0,0,,south,AYO-0811f
18,2,,0,0,,south,AYO-0811f
19,3,,0,0,,south,AYO-0811f
20,5,,0,0,,south,AYO-0811f
21,6,,0,0,,south,AYO-0811f
22,4,,0,0,,south,AYO-0811f
23,5,,0,0,,south,AYO-0811f
