,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-980ba
1,4,True,0,0,15,north,AYO-980ba
2,5,True,0,0,,north,AYO-980ba
3,6,True,0,0,,north,AYO-980ba
4,1,True,0,0,,north,AYO-980ba
5,2,,0,0,,north,AYO-980ba
6,6,,0,0,,north,AYO-980ba
7,3,,0,0,,north,AYO-980ba
8,4,,0,0,,north,AYO-980ba
9,6,,0,0,,north,AYO-980ba
10,5,,0,0,,north,AYO-980ba
11,6,,1,0,,north,AYO-980ba
0,2,True,0,0,0,south,AYO-980ba
1,3,True,0,0,33,south,AYO-980ba
2,1,True,0,0,,south,AYO-980ba
3,6,True,0,0,,south,AYO-980ba
4,4,True,0,0,,south,AYO-980ba
5,3,,0,0,,south,AYO-980ba
6,5,,0,0,,south,AYO-980ba
7,4,,0,0,,south,AYO-980ba
8,5,,0,0,,south,AYO-980ba
9,6,,0,0,,south,AYO-980ba
10,3,,0,0,,south,AYO-980ba
