,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-18ceb
1,4,True,0,0,23,north,AYO-18ceb
2,5,True,0,0,,north,AYO-18ceb
3,6,True,0,0,,north,AYO-18ceb
4,1,True,0,0,,north,AYO-18ceb
5,2,,0,0,,north,AYO-18ceb
6,6,,0,0,,north,AYO-18ceb
7,4,,0,0,,north,AYO-18ceb
8,5,,0,0,,north,AYO-18ceb
9,6,,0,0,,north,AYO-18ceb
10,3,,0,0,,north,AYO-18ceb
11,4,,0,0,,north,AYO-18ceb
12,5,,0,0,,north,AYO-18ceb
13,6,,1,0,,north,AYO-18ceb
0,2,True,0,0,0,south,AYO-18ceb
1,3,True,0,0,25,south,AYO-18ceb
2,1,True,0,0,,south,AYO-18ceb
3,6,True,0,0,,south,AYO-18ceb
4,4,True,0,0,,south,AYO-18ceb
5,3,True,0,0,,south,AYO-18ceb
6,5,,0,0,,south,AYO-18ceb
7,4,,0,0,,south,AYO-18ceb
8,5,,0,0,,south,AYO-18ceb
9,6,,0,0,,south,AYO-18ceb
10,5,,0,0,,south,AYO-18ceb
11,6,,0,0,,south,AYO-18ceb
12,3,,0,0,,south,AYO-18ceb
13,5,,0,0,,south,AYO-18ceb
