,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-0b548
1,4,True,0,0,18,north,AYO-0b548
2,5,True,0,0,,north,AYO-0b548
3,6,True,0,0,,north,AYO-0b548
4,2,,0,0,,north,AYO-0b548
5,3,,0,0,,north,AYO-0b548
6,5,,0,0,,north,AYO-0b548
7,1,,0,0,,north,AYO-0b548
8,4,,0,0,,north,AYO-0b548
9,6,,0,0,,north,AYO-0b548
10,2,,0,0,,north,AYO-0b548
11,5,,0,0,,north,AYO-0b548
12,6,,0,0,,north,AYO-0b548
13,3,,0,0,,north,AYO-0b548
14,4,,0,0,,north,AYO-0b548
0,2,True,0,0,0,south,AYO-0b548
1,3,True,0,0,30,south,AYO-0b548
2,1,True,0,0,,south,AYO-0b548
3,6,True,0,0,,south,AYO-0b548
4,4,True,0,0,,south,AYO-0b548
5,3,True,0,0,,south,AYO-0b548
6,5,True,0,0,,south,AYO-0b548
7,4,True,0,0,,south,AYO-0b548
8,5,,0,0,,south,AYO-0b548
9,2,,0,0,,south,AYO-0b548
10,6,,0,0,,south,AYO-0b548
11,5,,0,0,,south,AYO-0b548
12,6,,0,0,,south,AYO-0b548
13,4,,0,0,,south,AYO-0b548
14,3,,0,0,,south,AYO-0b548
15,5,,0,0,,south,AYO-0b548
16,6,,0,0,,south,AYO-0b548
17,4,,0,0,,south,AYO-0b548
18,5,,1,0,,south,AYO-0b548
