,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-b4370
1,4,True,0,0,23,north,AYO-b4370
2,5,True,0,0,,north,AYO-b4370
3,6,True,0,0,,north,AYO-b4370
4,1,True,0,0,,north,AYO-b4370
5,2,,0,0,,north,AYO-b4370
6,6,,0,0,,north,AYO-b4370
7,4,,0,0,,north,AYO-b4370
8,5,,0,0,,north,AYO-b4370
9,6,,0,0,,north,AYO-b4370
10,3,,0,0,,north,AYO-b4370
11,4,,0,0,,north,AYO-b4370
12,5,,0,0,,north,AYO-b4370
13,6,,1,0,,north,AYO-b4370
0,2,True,0,0,0,south,AYO-b4370
1,3,True,0,0,25,south,AYO-b4370
2,1,True,0,0,,south,AYO-b4370
3,6,True,0,0,,south,AYO-b4370
4,4,True,0,0,,south,AYO-b4370
5,3,True,0,0,,south,AYO-b4370
6,5,,0,0,,south,AYO-b4370
7,4,,0,0,,south,AYO-b4370
8,5,,0,0,,south,AYO-b4370
9,6,,0,0,,south,AYO-b4370
10,5,,0,0,,south,AYO-b4370
11,6,,0,0,,south,AYO-b4370
12,3,,0,0,,south,AYO-b4370
13,5,,0,0,,south,AYO-b4370
