,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-20eaf
1,4,True,0,0,18,north,AYO-20eaf
2,5,True,0,0,,north,AYO-20eaf
3,6,True,0,0,,north,AYO-20eaf
4,2,True,0,0,,north,AYO-20eaf
5,1,,0,0,,north,AYO-20eaf
6,5,,0,0,,north,AYO-20eaf
7,6,,0,0,,north,AYO-20eaf
8,2,,0,0,,north,AYO-20eaf
9,3,,0,0,,north,AYO-20eaf
10,4,,0,0,,north,AYO-20eaf
11,5,,0,0,,north,AYO-20eaf
12,6,,1,0,,north,AYO-20eaf
0,2,True,0,0,0,south,AYO-20eaf
1,3,True,0,0,30,south,AYO-20eaf
2,1,True,0,0,,south,AYO-20eaf
3,6,True,0,0,,south,AYO-20eaf
4,4,True,0,0,,south,AYO-20eaf
5,3,True,0,0,,south,AYO-20eaf
6,5,True,0,0,,south,AYO-20eaf
7,4,,0,0,,south,AYO-20eaf
8,5,,0,0,,south,AYO-20eaf
9,2,,0,0,,south,AYO-20eaf
10,6,,0,0,,south,AYO-20eaf
11,5,,0,0,,south,AYO-20eaf
12,6,,0,0,,south,AYO-20eaf
13,3,,0,0,,south,AYO-20eaf
