,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-91d53
1,4,True,0,0,20,north,AYO-91d53
2,5,True,0,0,,north,AYO-91d53
3,6,True,0,0,,north,AYO-91d53
4,2,True,0,0,,north,AYO-91d53
5,1,,0,0,,north,AYO-91d53
6,5,,0,0,,north,AYO-91d53
7,6,,0,0,,north,AYO-91d53
8,4,,0,0,,north,AYO-91d53
9,3,,0,0,,north,AYO-91d53
10,5,,0,0,,north,AYO-91d53
11,6,,0,0,,north,AYO-91d53
12,4,,0,0,,north,AYO-91d53
13,2,,0,0,,north,AYO-91d53
14,3,,1,0,,north,AYO-91d53
0,2,True,0,0,0,south,AYO-91d53
1,3,True,0,0,28,south,AYO-91d53
2,1,True,0,0,,south,AYO-91d53
3,6,True,0,0,,south,AYO-91d53
4,4,True,0,0,,south,AYO-91d53
5,3,True,0,0,,south,AYO-91d53
6,5,True,0,0,,south,AYO-91d53
7,4,True,0,0,,south,AYO-91d53
8,5,True,0,0,,south,AYO-91d53
9,2,True,0,0,,south,AYO-91d53
10,6,,0,0,,south,AYO-91d53
11,5,,0,0,,south,AYO-91d53
12,6,,0,0,,south,AYO-91d53
13,1,,0,0,,south,AYO-91d53
14,3,,0,0,,south,AYO-91d53
15,4,,0,0,,south,AYO-91d53
16,5,,0,0,,south,AYO-91d53
17,6,,0,0,,south,AYO-91d53
18,2,,0,0,,south,AYO-91d53
