,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-4422b
1,4,True,0,0,15,north,AYO-4422b
2,5,True,0,0,,north,AYO-4422b
3,6,,0,0,,north,AYO-4422b
4,2,,0,0,,north,AYO-4422b
5,5,,0,0,,north,AYO-4422b
6,3,,0,0,,north,AYO-4422b
7,1,,0,0,,north,AYO-4422b
8,4,,0,0,,north,AYO-4422b
9,5,,0,0,,north,AYO-4422b
10,6,,0,0,,north,AYO-4422b
11,2,,0,0,,north,AYO-4422b
12,3,,0,0,,north,AYO-4422b
13,5,,0,0,,north,AYO-4422b
0,2,True,0,0,0,south,AYO-4422b
1,3,True,0,0,33,south,AYO-4422b
2,1,True,0,0,,south,AYO-4422b
3,6,True,0,0,,south,AYO-4422b
4,4,True,0,0,,south,AYO-4422b
5,3,True,0,0,,south,AYO-4422b
6,5,True,0,0,,south,AYO-4422b
7,4,,0,0,,south,AYO-4422b
8,5,,0,0,,south,AYO-4422b
9,2,,0,0,,south,AYO-4422b
10,5,,0,0,,south,AYO-4422b
11,6,,0,0,,south,AYO-4422b
12,4,,0,0,,south,AYO-4422b
13,1,,0,0,,south,AYO-4422b
14,3,,0,0,,south,AYO-4422b
15,4,,0,0,,south,AYO-4422b
16,5,,0,0,,south,AYO-4422b
17,6,,1,0,,south,AYO-4422b
