,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-5d8e1
1,4,True,0,0,17,north,AYO-5d8e1
2,5,True,0,0,,north,AYO-5d8e1
3,6,True,0,0,,north,AYO-5d8e1
4,2,True,0,0,,north,AYO-5d8e1
5,1,True,0,0,,north,AYO-5d8e1
6,5,,0,0,,north,AYO-5d8e1
7,6,,0,0,,north,AYO-5d8e1
8,4,,0,0,,north,AYO-5d8e1
9,2,,0,0,,north,AYO-5d8e1
10,5,,0,0,,north,AYO-5d8e1
11,6,,0,0,,north,AYO-5d8e1
12,3,,0,0,,north,AYO-5d8e1
13,6,,0,0,,north,AYO-5d8e1
14,4,,0,0,,north,AYO-5d8e1
15,5,,0,0,,north,AYO-5d8e1
16,6,,1,0,,north,AYO-5d8e1
0,2,True,0,0,0,south,AYO-5d8e1
1,3,True,0,0,31,south,AYO-5d8e1
2,1,True,0,0,,south,AYO-5d8e1
3,6,True,0,0,,south,AYO-5d8e1
4,4,True,0,0,,south,AYO-5d8e1
5,3,True,0,0,,south,AYO-5d8e1
6,5,True,0,0,,south,AYO-5d8e1
7,4,True,0,0,,south,AYO-5d8e1
8,5,True,0,0,,south,AYO-5d8e1
9,2,,0,0,,south,AYO-5d8e1
10,6,,0,0,,south,AYO-5d8e1
11,5,,0,0,,south,AYO-5d8e1
12,6,,0,0,,south,AYO-5d8e1
13,4,,0,0,,south,AYO-5d8e1
14,2,,0,0,,south,AYO-5d8e1
15,3,,0,0,,south,AYO-5d8e1
16,5,,0,0,,south,AYO-5d8e1
17,6,,0,0,,south,AYO-5d8e1
18,1,,0,0,,south,AYO-5d8e1
