,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-b149b
1,4,True,0,0,15,north,AYO-b149b
2,5,True,0,0,,north,AYO-b149b
3,6,True,0,0,,north,AYO-b149b
4,1,True,0,0,,north,AYO-b149b
5,2,,0,0,,north,AYO-b149b
6,6,,0,0,,north,AYO-b149b
7,3,,0,0,,north,AYO-b149b
8,4,,0,0,,north,AYO-b149b
9,6,,0,0,,north,AYO-b149b
10,5,,0,0,,north,AYO-b149b
11,6,,1,0,,north,AYO-b149b
0,2,True,0,0,0,south,AYO-b149b
1,3,True,0,0,33,south,AYO-b149b
2,1,True,0,0,,south,AYO-b149b
3,6,True,0,0,,south,AYO-b149b
4,4,True,0,0,,south,AYO-b149b
5,3,,0,0,,south,AYO-b149b
6,5,,0,0,,south,AYO-b149b
7,4,,0,0,,south,AYO-b149b
8,5,,0,0,,south,AYO-b149b
9,6,,0,0,,south,AYO-b149b
10,2,,0,0,,south,AYO-b149b
