,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-281a9
1,4,True,0,0,23,north,AYO-281a9
2,5,True,0,0,,north,AYO-281a9
3,6,True,0,0,,north,AYO-281a9
4,1,True,0,0,,north,AYO-281a9
5,2,,0,0,,north,AYO-281a9
6,6,,0,0,,north,AYO-281a9
7,4,,0,0,,north,AYO-281a9
8,5,,0,0,,north,AYO-281a9
9,6,,0,0,,north,AYO-281a9
10,3,,0,0,,north,AYO-281a9
11,4,,0,0,,north,AYO-281a9
12,5,,0,0,,north,AYO-281a9
13,6,,1,0,,north,AYO-281a9
0,2,True,0,0,0,south,AYO-281a9
1,3,True,0,0,25,south,AYO-281a9
2,1,True,0,0,,south,AYO-281a9
3,6,True,0,0,,south,AYO-281a9
4,4,True,0,0,,south,AYO-281a9
5,3,True,0,0,,south,AYO-281a9
6,5,True,0,0,,south,AYO-281a9
7,4,True,0,0,,south,AYO-281a9
8,5,,0,0,,south,AYO-281a9
9,6,,0,0,,south,AYO-281a9
10,3,,0,0,,south,AYO-281a9
11,5,,0,0,,south,AYO-281a9
12,6,,0,0,,south,AYO-281a9
13,4,,0,0,,south,AYO-281a9
14,6,,0,0,,south,AYO-281a9
15,5,,0,0,,south,AYO-281a9
