,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-69b79
1,4,True,0,0,23,north,AYO-69b79
2,5,True,0,0,,north,AYO-69b79
3,6,True,0,0,,north,AYO-69b79
4,1,True,0,0,,north,AYO-69b79
5,2,,0,0,,north,AYO-69b79
6,6,,0,0,,north,AYO-69b79
7,5,,0,0,,north,AYO-69b79
8,3,,0,0,,north,AYO-69b79
9,4,,0,0,,north,AYO-69b79
10,6,,0,0,,north,AYO-69b79
11,5,,0,0,,north,AYO-69b79
12,6,,1,0,,north,AYO-69b79
0,2,True,0,0,0,south,AYO-69b79
1,3,True,0,0,25,south,AYO-69b79
2,1,True,0,0,,south,AYO-69b79
3,6,True,0,0,,south,AYO-69b79
4,4,True,0,0,,south,AYO-69b79
5,3,True,0,0,,south,AYO-69b79
6,5,,0,0,,south,AYO-69b79
7,4,,0,0,,south,AYO-69b79
8,5,,0,0,,south,AYO-69b79
9,6,,0,0,,south,AYO-69b79
10,5,,0,0,,south,AYO-69b79
11,6,,0,0,,south,AYO-69b79
12,4,,0,0,,south,AYO-69b79
