,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-f4903
1,4,True,0,0,20,north,AYO-f4903
2,5,True,0,0,,north,AYO-f4903
3,6,True,0,0,,north,AYO-f4903
4,1,True,0,0,,north,AYO-f4903
5,2,True,0,0,,north,AYO-f4903
6,6,,0,0,,north,AYO-f4903
7,5,,0,0,,north,AYO-f4903
8,4,,0,0,,north,AYO-f4903
9,6,,0,0,,north,AYO-f4903
10,5,,0,0,,north,AYO-f4903
11,6,,0,0,,north,AYO-f4903
12,3,,0,0,,north,AYO-f4903
13,5,,0,0,,north,AYO-f4903
14,6,,0,0,,north,AYO-f4903
15,4,,0,0,,north,AYO-f4903
0,2,True,0,0,0,south,AYO-f4903
1,3,True,0,0,28,south,AYO-f4903
2,1,True,0,0,,south,AYO-f4903
3,6,True,0,0,,south,AYO-f4903
4,4,True,0,0,,south,AYO-f4903
5,3,True,0,0,,south,AYO-f4903
6,5,True,0,0,,south,AYO-f4903
7,4,,0,0,,south,AYO-f4903
8,5,,0,0,,south,AYO-f4903
9,6,,0,0,,south,AYO-f4903
10,4,,0,0,,south,AYO-f4903
11,5,,0,0,,south,AYO-f4903
12,6,,0,0,,south,AYO-f4903
13,3,,0,0,,south,AYO-f4903
14,4,,0,0,,south,AYO-f4903
15,5,,0,0,,south,AYO-f4903
16,6,,1,0,,south,AYO-f4903
