,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-da284
1,4,True,0,0,15,north,AYO-da284
2,5,True,0,0,,north,AYO-da284
3,6,,0,0,,north,AYO-da284
4,2,,0,0,,north,AYO-da284
5,5,,0,0,,north,AYO-da284
6,3,,0,0,,north,AYO-da284
7,1,,0,0,,north,AYO-da284
8,4,,0,0,,north,AYO-da284
9,5,,0,0,,north,AYO-da284
10,6,,0,0,,north,AYO-da284
0,2,True,0,0,0,south,AYO-da284
1,3,True,0,0,33,south,AYO-da284
2,1,True,0,0,,south,AYO-da284
3,6,True,0,0,,south,AYO-da284
4,4,True,0,0,,south,AYO-da284
5,3,True,0,0,,south,AYO-da284
6,5,True,0,0,,south,AYO-da284
7,4,True,0,0,,south,AYO-da284
8,5,,0,0,,south,AYO-da284
9,2,,0,0,,south,AYO-da284
10,3,,0,0,,south,AYO-da284
11,5,,0,0,,south,AYO-da284
12,6,,0,0,,south,AYO-da284
13,4,,0,0,,south,AYO-da284
14,6,,0,0,,south,AYO-da284
15,5,,1,0,,south,AYO-da284
