,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-6a310
1,4,True,0,0,20,north,AYO-6a310
2,5,True,0,0,,north,AYO-6a310
3,6,,0,0,,north,AYO-6a310
4,2,,0,0,,north,AYO-6a310
5,3,,0,0,,north,AYO-6a310
6,5,,0,0,,north,AYO-6a310
7,4,,0,0,,north,AYO-6a310
8,1,,0,0,,north,AYO-6a310
9,5,,0,0,,north,AYO-6a310
10,6,,0,0,,north,AYO-6a310
11,3,,0,0,,north,AYO-6a310
12,4,,0,0,,north,AYO-6a310
0,2,True,0,0,0,south,AYO-6a310
1,3,True,0,0,28,south,AYO-6a310
2,1,True,0,0,,south,AYO-6a310
3,6,True,0,0,,south,AYO-6a310
4,4,True,0,0,,south,AYO-6a310
5,3,True,0,0,,south,AYO-6a310
6,5,True,0,0,,south,AYO-6a310
7,4,True,0,0,,south,AYO-6a310
8,5,True,0,0,,south,AYO-6a310
9,2,,0,0,,south,AYO-6a310
10,6,,0,0,,south,AYO-6a310
11,5,,0,0,,south,AYO-6a310
12,6,,0,0,,south,AYO-6a310
13,4,,0,0,,south,AYO-6a310
14,6,,0,0,,south,AYO-6a310
15,3,,0,0,,south,AYO-6a310
16,5,,0,0,,south,AYO-6a310
17,6,,0,0,,south,AYO-6a310
18,2,,1,0,,south,AYO-6a310
