,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-2f255
1,4,True,0,0,15,north,AYO-2f255
2,5,True,0,0,,north,AYO-2f255
3,6,True,0,0,,north,AYO-2f255
4,1,True,0,0,,north,AYO-2f255
5,2,,0,0,,north,AYO-2f255
6,6,,0,0,,north,AYO-2f255
7,3,,0,0,,north,AYO-2f255
8,4,,0,0,,north,AYO-2f255
9,6,,0,0,,north,AYO-2f255
10,5,,0,0,,north,AYO-2f255
11,6,,1,0,,north,AYO-2f255
0,2,True,0,0,0,south,AYO-2f255
1,3,True,0,0,33,south,AYO-2f255
2,1,True,0,0,,south,AYO-2f255
3,6,True,0,0,,south,AYO-2f255
4,4,True,0,0,,south,AYO-2f255
5,3,,0,0,,south,AYO-2f255
6,5,,0,0,,south,AYO-2f255
7,4,,0,0,,south,AYO-2f255
8,5,,0,0,,south,AYO-2f255
9,6,,0,0,,south,AYO-2f255
10,4,,0,0,,south,AYO-2f255
