,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-c56ed
1,4,True,0,0,20,north,AYO-c56ed
2,5,True,0,0,,north,AYO-c56ed
3,6,,0,0,,north,AYO-c56ed
4,2,,0,0,,north,AYO-c56ed
5,4,,0,0,,north,AYO-c56ed
6,5,,0,0,,north,AYO-c56ed
7,6,,0,0,,north,AYO-c56ed
8,3,,0,0,,north,AYO-c56ed
9,1,,0,0,,north,AYO-c56ed
10,2,,0,0,,north,AYO-c56ed
11,4,,0,0,,north,AYO-c56ed
12,3,,0,0,,north,AYO-c56ed
13,4,,0,0,,north,AYO-c56ed
14,5,,0,0,,north,AYO-c56ed
15,6,,1,0,,north,AYO-c56ed
0,2,True,0,0,0,south,AYO-c56ed
1,3,True,0,0,28,south,AYO-c56ed
2,1,True,0,0,,south,AYO-c56ed
3,6,True,0,0,,south,AYO-c56ed
4,4,True,0,0,,south,AYO-c56ed
5,3,True,0,0,,south,AYO-c56ed
6,5,True,0,0,,south,AYO-c56ed
7,4,True,0,0,,south,AYO-c56ed
8,5,True,0,0,,south,AYO-c56ed
9,2,True,0,0,,south,AYO-c56ed
10,6,,0,0,,south,AYO-c56ed
11,5,,0,0,,south,AYO-c56ed
12,6,,0,0,,south,AYO-c56ed
13,1,,0,0,,south,AYO-c56ed
14,4,,0,0,,south,AYO-c56ed
15,5,,0,0,,south,AYO-c56ed
16,6,,0,0,,south,AYO-c56ed
17,1,,0,0,,south,AYO-c56ed
18,3,,0,0,,south,AYO-c56ed
19,5,,0,0,,south,AYO-c56ed
20,6,,0,0,,south,AYO-c56ed
21,4,,0,0,,south,AYO-c56ed
