,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-93fd7
1,4,True,0,0,23,north,AYO-93fd7
2,5,True,0,0,,north,AYO-93fd7
3,6,True,0,0,,north,AYO-93fd7
4,1,True,0,0,,north,AYO-93fd7
5,2,,0,0,,north,AYO-93fd7
6,6,,0,0,,north,AYO-93fd7
7,5,,0,0,,north,AYO-93fd7
8,4,,0,0,,north,AYO-93fd7
9,6,,0,0,,north,AYO-93fd7
10,5,,0,0,,north,AYO-93fd7
11,6,,0,0,,north,AYO-93fd7
12,3,,0,0,,north,AYO-93fd7
13,4,,0,0,,north,AYO-93fd7
0,2,True,0,0,0,south,AYO-93fd7
1,3,True,0,0,25,south,AYO-93fd7
2,1,True,0,0,,south,AYO-93fd7
3,6,True,0,0,,south,AYO-93fd7
4,4,True,0,0,,south,AYO-93fd7
5,3,True,0,0,,south,AYO-93fd7
6,5,True,0,0,,south,AYO-93fd7
7,4,True,0,0,,south,AYO-93fd7
8,5,,0,0,,south,AYO-93fd7
9,6,,0,0,,south,AYO-93fd7
10,3,,0,0,,south,AYO-93fd7
11,5,,0,0,,south,AYO-93fd7
12,6,,0,0,,south,AYO-93fd7
13,4,,0,0,,south,AYO-93fd7
14,6,,0,0,,south,AYO-93fd7
15,5,,0,0,,south,AYO-93fd7
16,6,,1,0,,south,AYO-93fd7
