,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-35a5b
1,4,True,0,0,15,north,AYO-35a5b
2,5,,0,0,,north,AYO-35a5b
3,6,,0,0,,north,AYO-35a5b
4,2,,0,0,,north,AYO-35a5b
5,5,,0,0,,north,AYO-35a5b
6,1,,0,0,,north,AYO-35a5b
7,4,,0,0,,north,AYO-35a5b
8,5,,0,0,,north,AYO-35a5b
9,6,,0,0,,north,AYO-35a5b
0,2,True,0,0,0,south,AYO-35a5b
1,3,True,0,0,33,south,AYO-35a5b
2,1,True,0,0,,south,AYO-35a5b
3,6,True,0,0,,south,AYO-35a5b
4,4,True,0,0,,south,AYO-35a5b
5,3,True,0,0,,south,AYO-35a5b
6,5,True,0,0,,south,AYO-35a5b
7,4,True,0,0,,south,AYO-35a5b
8,5,,0,0,,south,AYO-35a5b
9,2,,0,0,,south,AYO-35a5b
10,3,,0,0,,south,AYO-35a5b
11,5,,0,0,,south,AYO-35a5b
12,6,,0,0,,south,AYO-35a5b
13,4,,0,0,,south,AYO-35a5b
14,6,,0,0,,south,AYO-35a5b
15,1,,1,0,,south,AYO-35a5b
