,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-8d500
1,4,True,0,0,19,north,AYO-8d500
2,5,True,0,0,,north,AYO-8d500
3,6,,0,0,,north,AYO-8d500
4,2,,0,0,,north,AYO-8d500
5,4,,0,0,,north,AYO-8d500
6,5,,0,0,,north,AYO-8d500
7,6,,0,0,,north,AYO-8d500
8,3,,0,0,,north,AYO-8d500
9,1,,0,0,,north,AYO-8d500
10,4,,0,0,,north,AYO-8d500
11,3,,0,0,,north,AYO-8d500
12,2,,0,0,,north,AYO-8d500
13,5,,0,0,,north,AYO-8d500
0,2,True,0,0,0,south,AYO-8d500
1,3,True,0,0,29,south,AYO-8d500
2,1,True,0,0,,south,AYO-8d500
3,6,True,0,0,,south,AYO-8d500
4,4,True,0,0,,south,AYO-8d500
5,3,True,0,0,,south,AYO-8d500
6,5,True,0,0,,south,AYO-8d500
7,4,True,0,0,,south,AYO-8d500
8,5,True,0,0,,south,AYO-8d500
9,2,True,0,0,,south,AYO-8d500
10,6,,0,0,,south,AYO-8d500
11,5,,0,0,,south,AYO-8d500
12,6,,0,0,,south,AYO-8d500
13,3,,0,0,,south,AYO-8d500
14,4,,0,0,,south,AYO-8d500
15,6,,0,0,,south,AYO-8d500
16,1,,0,0,,south,AYO-8d500
17,5,,0,0,,south,AYO-8d500
18,6,,0,0,,south,AYO-8d500
19,1,,0,0,,south,AYO-8d500
20,2,,1,0,,south,AYO-8d500
