,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-ff948
1,4,True,0,0,23,north,AYO-ff948
2,5,True,0,0,,north,AYO-ff948
3,6,True,0,0,,north,AYO-ff948
4,1,True,0,0,,north,AYO-ff948
5,2,,0,0,,north,AYO-ff948
6,6,,0,0,,north,AYO-ff948
7,4,,0,0,,north,AYO-ff948
8,5,,0,0,,north,AYO-ff948
9,6,,0,0,,north,AYO-ff948
10,3,,0,0,,north,AYO-ff948
11,4,,0,0,,north,AYO-ff948
12,5,,0,0,,north,AYO-ff948
13,6,,1,0,,north,AYO-ff948
0,2,True,0,0,0,south,AYO-ff948
1,3,True,0,0,25,south,AYO-ff948
2,1,True,0,0,,south,AYO-ff948
3,6,True,0,0,,south,AYO-ff948
4,4,True,0,0,,south,AYO-ff948
5,3,True,0,0,,south,AYO-ff948
6,5,True,0,0,,south,AYO-ff948
7,4,,0,0,,south,AYO-ff948
8,5,,0,0,,south,AYO-ff948
9,6,,0,0,,south,AYO-ff948
10,4,,0,0,,south,AYO-ff948
11,5,,0,0,,south,AYO-ff948
12,6,,0,0,,south,AYO-ff948
13,3,,0,0,,south,AYO-ff948
14,4,,0,0,,south,AYO-ff948
