,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-9d634
1,4,True,0,0,15,north,AYO-9d634
2,5,True,0,0,,north,AYO-9d634
3,6,True,0,0,,north,AYO-9d634
4,1,True,0,0,,north,AYO-9d634
5,2,,0,0,,north,AYO-9d634
6,6,,0,0,,north,AYO-9d634
7,3,,0,0,,north,AYO-9d634
8,4,,0,0,,north,AYO-9d634
9,6,,0,0,,north,AYO-9d634
10,5,,0,0,,north,AYO-9d634
11,6,,1,0,,north,AYO-9d634
0,2,True,0,0,0,south,AYO-9d634
1,3,True,0,0,33,south,AYO-9d634
2,1,True,0,0,,south,AYO-9d634
3,6,True,0,0,,south,AYO-9d634
4,4,True,0,0,,south,AYO-9d634
5,3,,0,0,,south,AYO-9d634
6,5,,0,0,,south,AYO-9d634
7,4,,0,0,,south,AYO-9d634
8,5,,0,0,,south,AYO-9d634
9,6,,0,0,,south,AYO-9d634
10,3,,0,0,,south,AYO-9d634
