,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-2abd3
1,4,True,0,0,16,north,AYO-2abd3
2,5,True,0,0,,north,AYO-2abd3
3,6,True,0,0,,north,AYO-2abd3
4,2,True,0,0,,north,AYO-2abd3
5,5,,0,0,,north,AYO-2abd3
6,4,,0,0,,north,AYO-2abd3
7,1,,0,0,,north,AYO-2abd3
8,5,,0,0,,north,AYO-2abd3
9,6,,0,0,,north,AYO-2abd3
10,3,,0,0,,north,AYO-2abd3
11,5,,0,0,,north,AYO-2abd3
12,6,,0,0,,north,AYO-2abd3
13,4,,0,0,,north,AYO-2abd3
14,6,,0,0,,north,AYO-2abd3
15,2,,0,0,,north,AYO-2abd3
0,2,True,0,0,0,south,AYO-2abd3
1,3,True,0,0,32,south,AYO-2abd3
2,1,True,0,0,,south,AYO-2abd3
3,6,True,0,0,,south,AYO-2abd3
4,4,True,0,0,,south,AYO-2abd3
5,3,True,0,0,,south,AYO-2abd3
6,5,True,0,0,,south,AYO-2abd3
7,4,True,0,0,,south,AYO-2abd3
8,5,,0,0,,south,AYO-2abd3
9,2,,0,0,,south,AYO-2abd3
10,5,,0,0,,south,AYO-2abd3
11,6,,0,0,,south,AYO-2abd3
12,4,,0,0,,south,AYO-2abd3
13,3,,0,0,,south,AYO-2abd3
14,5,,0,0,,south,AYO-2abd3
15,6,,0,0,,south,AYO-2abd3
16,4,,0,0,,south,AYO-2abd3
17,5,,0,0,,south,AYO-2abd3
18,6,,1,0,,south,AYO-2abd3
