,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-5fbf8
1,4,True,0,0,23,north,AYO-5fbf8
2,5,True,0,0,,north,AYO-5fbf8
3,6,True,0,0,,north,AYO-5fbf8
4,1,True,0,0,,north,AYO-5fbf8
5,2,,0,0,,north,AYO-5fbf8
6,6,,0,0,,north,AYO-5fbf8
7,4,,0,0,,north,AYO-5fbf8
8,5,,0,0,,north,AYO-5fbf8
9,6,,0,0,,north,AYO-5fbf8
10,3,,0,0,,north,AYO-5fbf8
11,4,,0,0,,north,AYO-5fbf8
12,5,,0,0,,north,AYO-5fbf8
13,6,,1,0,,north,AYO-5fbf8
0,2,True,0,0,0,south,AYO-5fbf8
1,3,True,0,0,25,south,AYO-5fbf8
2,1,True,0,0,,south,AYO-5fbf8
3,6,True,0,0,,south,AYO-5fbf8
4,4,True,0,0,,south,AYO-5fbf8
5,3,True,0,0,,south,AYO-5fbf8
6,5,True,0,0,,south,AYO-5fbf8
7,4,True,0,0,,south,AYO-5fbf8
8,5,,0,0,,south,AYO-5fbf8
9,6,,0,0,,south,AYO-5fbf8
10,3,,0,0,,south,AYO-5fbf8
11,5,,0,0,,south,AYO-5fbf8
12,6,,0,0,,south,AYO-5fbf8
13,4,,0,0,,south,AYO-5fbf8
14,6,,0,0,,south,AYO-5fbf8
15,5,,0,0,,south,AYO-5fbf8
