,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-c9c0b
1,4,True,0,0,23,north,AYO-c9c0b
2,5,True,0,0,,north,AYO-c9c0b
3,6,True,0,0,,north,AYO-c9c0b
4,1,True,0,0,,north,AYO-c9c0b
5,2,,0,0,,north,AYO-c9c0b
6,6,,0,0,,north,AYO-c9c0b
7,4,,0,0,,north,AYO-c9c0b
8,5,,0,0,,north,AYO-c9c0b
9,6,,0,0,,north,AYO-c9c0b
10,3,,0,0,,north,AYO-c9c0b
11,4,,0,0,,north,AYO-c9c0b
12,5,,0,0,,north,AYO-c9c0b
13,6,,1,0,,north,AYO-c9c0b
0,2,True,0,0,0,south,AYO-c9c0b
1,3,True,0,0,25,south,AYO-c9c0b
2,1,True,0,0,,south,AYO-c9c0b
3,6,True,0,0,,south,AYO-c9c0b
4,4,True,0,0,,south,AYO-c9c0b
5,3,True,0,0,,south,AYO-c9c0b
6,5,True,0,0,,south,AYO-c9c0b
7,4,True,0,0,,south,AYO-c9c0b
8,5,,0,0,,south,AYO-c9c0b
9,6,,0,0,,south,AYO-c9c0b
10,3,,0,0,,south,AYO-c9c0b
11,5,,0,0,,south,AYO-c9c0b
12,6,,0,0,,south,AYO-c9c0b
13,4,,0,0,,south,AYO-c9c0b
14,6,,0,0,,south,AYO-c9c0b
15,5,,0,0,,south,AYO-c9c0b
