,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-c307d
1,4,True,0,0,19,north,AYO-c307d
2,5,True,0,0,,north,AYO-c307d
3,6,True,0,0,,north,AYO-c307d
4,2,,0,0,,north,AYO-c307d
5,4,,0,0,,north,AYO-c307d
6,5,,0,0,,north,AYO-c307d
7,6,,0,0,,north,AYO-c307d
8,3,,0,0,,north,AYO-c307d
9,1,,0,0,,north,AYO-c307d
10,2,,0,0,,north,AYO-c307d
11,3,,0,0,,north,AYO-c307d
12,4,,0,0,,north,AYO-c307d
13,6,,0,0,,north,AYO-c307d
14,5,,0,0,,north,AYO-c307d
15,6,,1,0,,north,AYO-c307d
0,2,True,0,0,0,south,AYO-c307d
1,3,True,0,0,29,south,AYO-c307d
2,1,True,0,0,,south,AYO-c307d
3,6,True,0,0,,south,AYO-c307d
4,4,True,0,0,,south,AYO-c307d
5,3,True,0,0,,south,AYO-c307d
6,5,True,0,0,,south,AYO-c307d
7,4,True,0,0,,south,AYO-c307d
8,5,True,0,0,,south,AYO-c307d
9,2,,0,0,,south,AYO-c307d
10,6,,0,0,,south,AYO-c307d
11,5,,0,0,,south,AYO-c307d
12,6,,0,0,,south,AYO-c307d
13,1,,0,0,,south,AYO-c307d
14,4,,0,0,,south,AYO-c307d
15,5,,0,0,,south,AYO-c307d
16,6,,0,0,,south,AYO-c307d
17,1,,0,0,,south,AYO-c307d
18,2,,0,0,,south,AYO-c307d
19,3,,0,0,,south,AYO-c307d
