,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-8ec8b
1,4,True,0,0,15,north,AYO-8ec8b
2,5,True,0,0,,north,AYO-8ec8b
3,6,True,0,0,,north,AYO-8ec8b
4,1,True,0,0,,north,AYO-8ec8b
5,2,,0,0,,north,AYO-8ec8b
6,6,,0,0,,north,AYO-8ec8b
7,3,,0,0,,north,AYO-8ec8b
8,4,,0,0,,north,AYO-8ec8b
9,6,,0,0,,north,AYO-8ec8b
10,5,,0,0,,north,AYO-8ec8b
11,6,,1,0,,north,AYO-8ec8b
0,2,True,0,0,0,south,AYO-8ec8b
1,3,True,0,0,33,south,AYO-8ec8b
2,1,True,0,0,,south,AYO-8ec8b
3,6,True,0,0,,south,AYO-8ec8b
4,4,True,0,0,,south,AYO-8ec8b
5,3,,0,0,,south,AYO-8ec8b
6,5,,0,0,,south,AYO-8ec8b
7,4,,0,0,,south,AYO-8ec8b
8,5,,0,0,,south,AYO-8ec8b
9,6,,0,0,,south,AYO-8ec8b
10,5,,0,0,,south,AYO-8ec8b
