,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-b380d
1,4,True,0,0,15,north,AYO-b380d
2,5,True,0,0,,north,AYO-b380d
3,6,True,0,0,,north,AYO-b380d
4,1,True,0,0,,north,AYO-b380d
5,2,,0,0,,north,AYO-b380d
6,6,,0,0,,north,AYO-b380d
7,3,,0,0,,north,AYO-b380d
8,4,,0,0,,north,AYO-b380d
9,6,,0,0,,north,AYO-b380d
10,5,,0,0,,north,AYO-b380d
11,6,,1,0,,north,AYO-b380d
0,2,True,0,0,0,south,AYO-b380d
1,3,True,0,0,33,south,AYO-b380d
2,1,True,0,0,,south,AYO-b380d
3,6,True,0,0,,south,AYO-b380d
4,4,True,0,0,,south,AYO-b380d
5,3,,0,0,,south,AYO-b380d
6,5,,0,0,,south,AYO-b380d
7,4,,0,0,,south,AYO-b380d
8,5,,0,0,,south,AYO-b380d
9,6,,0,0,,south,AYO-b380d
10,4,,0,0,,south,AYO-b380d
