,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-a3788
1,4,True,0,0,23,north,AYO-a3788
2,5,True,0,0,,north,AYO-a3788
3,6,True,0,0,,north,AYO-a3788
4,1,True,0,0,,north,AYO-a3788
5,2,,0,0,,north,AYO-a3788
6,6,,0,0,,north,AYO-a3788
7,4,,0,0,,north,AYO-a3788
8,5,,0,0,,north,AYO-a3788
9,6,,0,0,,north,AYO-a3788
10,3,,0,0,,north,AYO-a3788
11,4,,0,0,,north,AYO-a3788
12,5,,0,0,,north,AYO-a3788
13,6,,1,0,,north,AYO-a3788
0,2,True,0,0,0,south,AYO-a3788
1,3,True,0,0,25,south,AYO-a3788
2,1,True,0,0,,south,AYO-a3788
3,6,True,0,0,,south,AYO-a3788
4,4,True,0,0,,south,AYO-a3788
5,3,True,0,0,,south,AYO-a3788
6,5,,0,0,,south,AYO-a3788
7,4,,0,0,,south,AYO-a3788
8,5,,0,0,,south,AYO-a3788
9,6,,0,0,,south,AYO-a3788
10,5,,0,0,,south,AYO-a3788
11,6,,0,0,,south,AYO-a3788
12,3,,0,0,,south,AYO-a3788
13,4,,0,0,,south,AYO-a3788
