,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-45a46
1,4,True,0,0,19,north,AYO-45a46
2,5,True,0,0,,north,AYO-45a46
3,6,,0,0,,north,AYO-45a46
4,2,,0,0,,north,AYO-45a46
5,4,,0,0,,north,AYO-45a46
6,5,,0,0,,north,AYO-45a46
7,6,,0,0,,north,AYO-45a46
8,3,,0,0,,north,AYO-45a46
9,1,,0,0,,north,AYO-45a46
10,2,,0,0,,north,AYO-45a46
11,3,,0,0,,north,AYO-45a46
12,4,,0,0,,north,AYO-45a46
13,5,,0,0,,north,AYO-45a46
14,6,,1,0,,north,AYO-45a46
0,2,True,0,0,0,south,AYO-45a46
1,3,True,0,0,29,south,AYO-45a46
2,1,True,0,0,,south,AYO-45a46
3,6,True,0,0,,south,AYO-45a46
4,4,True,0,0,,south,AYO-45a46
5,3,True,0,0,,south,AYO-45a46
6,5,True,0,0,,south,AYO-45a46
7,4,True,0,0,,south,AYO-45a46
8,5,True,0,0,,south,AYO-45a46
9,2,True,0,0,,south,AYO-45a46
10,6,,0,0,,south,AYO-45a46
11,5,,0,0,,south,AYO-45a46
12,6,,0,0,,south,AYO-45a46
13,3,,0,0,,south,AYO-45a46
14,4,,0,0,,south,AYO-45a46
15,6,,0,0,,south,AYO-45a46
16,1,,0,0,,south,AYO-45a46
17,5,,0,0,,south,AYO-45a46
18,6,,0,0,,south,AYO-45a46
19,3,,0,0,,south,AYO-45a46
20,4,,0,0,,south,AYO-45a46
