,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-64f65
1,4,True,0,0,23,north,AYO-64f65
2,5,True,0,0,,north,AYO-64f65
3,6,True,0,0,,north,AYO-64f65
4,1,True,0,0,,north,AYO-64f65
5,2,,0,0,,north,AYO-64f65
6,6,,0,0,,north,AYO-64f65
7,4,,0,0,,north,AYO-64f65
8,5,,0,0,,north,AYO-64f65
9,6,,0,0,,north,AYO-64f65
10,3,,0,0,,north,AYO-64f65
11,4,,0,0,,north,AYO-64f65
12,5,,0,0,,north,AYO-64f65
13,6,,1,0,,north,AYO-64f65
0,2,True,0,0,0,south,AYO-64f65
1,3,True,0,0,25,south,AYO-64f65
2,1,True,0,0,,south,AYO-64f65
3,6,True,0,0,,south,AYO-64f65
4,4,True,0,0,,south,AYO-64f65
5,3,True,0,0,,south,AYO-64f65
6,5,,0,0,,south,AYO-64f65
7,4,,0,0,,south,AYO-64f65
8,5,,0,0,,south,AYO-64f65
9,6,,0,0,,south,AYO-64f65
10,5,,0,0,,south,AYO-64f65
11,6,,0,0,,south,AYO-64f65
12,4,,0,0,,south,AYO-64f65
13,5,,0,0,,south,AYO-64f65
