,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-b4d17
1,4,True,0,0,13,north,AYO-b4d17
2,5,True,0,0,,north,AYO-b4d17
3,6,True,0,0,,north,AYO-b4d17
4,2,True,0,0,,north,AYO-b4d17
5,1,,0,0,,north,AYO-b4d17
6,5,,0,0,,north,AYO-b4d17
7,6,,0,0,,north,AYO-b4d17
8,3,,0,0,,north,AYO-b4d17
9,4,,0,0,,north,AYO-b4d17
10,5,,0,0,,north,AYO-b4d17
11,6,,0,0,,north,AYO-b4d17
12,2,,0,0,,north,AYO-b4d17
13,3,,0,0,,north,AYO-b4d17
0,2,True,0,0,0,south,AYO-b4d17
1,3,True,0,0,35,south,AYO-b4d17
2,1,True,0,0,,south,AYO-b4d17
3,6,True,0,0,,south,AYO-b4d17
4,4,True,0,0,,south,AYO-b4d17
5,3,True,0,0,,south,AYO-b4d17
6,5,True,0,0,,south,AYO-b4d17
7,4,True,0,0,,south,AYO-b4d17
8,5,True,0,0,,south,AYO-b4d17
9,2,True,0,0,,south,AYO-b4d17
10,6,True,0,0,,south,AYO-b4d17
11,5,,0,0,,south,AYO-b4d17
12,6,,0,0,,south,AYO-b4d17
13,1,,0,0,,south,AYO-b4d17
14,3,,0,0,,south,AYO-b4d17
15,5,,0,0,,south,AYO-b4d17
16,4,,0,0,,south,AYO-b4d17
17,5,,0,0,,south,AYO-b4d17
18,6,,0,0,,south,AYO-b4d17
19,2,,1,0,,south,AYO-b4d17
