,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-2d37f
1,4,True,0,0,20,north,AYO-2d37f
2,5,True,0,0,,north,AYO-2d37f
3,6,True,0,0,,north,AYO-2d37f
4,2,True,0,0,,north,AYO-2d37f
5,4,,0,0,,north,AYO-2d37f
6,5,,0,0,,north,AYO-2d37f
7,6,,0,0,,north,AYO-2d37f
8,1,,0,0,,north,AYO-2d37f
9,5,,0,0,,north,AYO-2d37f
10,3,,0,0,,north,AYO-2d37f
11,4,,0,0,,north,AYO-2d37f
12,5,,0,0,,north,AYO-2d37f
13,6,,0,0,,north,AYO-2d37f
14,2,,0,0,,north,AYO-2d37f
15,3,,0,0,,north,AYO-2d37f
16,4,,0,0,,north,AYO-2d37f
17,5,,0,0,,north,AYO-2d37f
0,2,True,0,0,0,south,AYO-2d37f
1,3,True,0,0,28,south,AYO-2d37f
2,1,True,0,0,,south,AYO-2d37f
3,6,True,0,0,,south,AYO-2d37f
4,4,True,0,0,,south,AYO-2d37f
5,3,True,0,0,,south,AYO-2d37f
6,5,True,0,0,,south,AYO-2d37f
7,4,True,0,0,,south,AYO-2d37f
8,5,True,0,0,,south,AYO-2d37f
9,2,True,0,0,,south,AYO-2d37f
10,6,,0,0,,south,AYO-2d37f
11,5,,0,0,,south,AYO-2d37f
12,6,,0,0,,south,AYO-2d37f
13,2,,0,0,,south,AYO-2d37f
14,3,,0,0,,south,AYO-2d37f
15,4,,0,0,,south,AYO-2d37f
16,5,,0,0,,south,AYO-2d37f
17,6,,0,0,,south,AYO-2d37f
18,2,,0,0,,south,AYO-2d37f
19,3,,0,0,,south,AYO-2d37f
20,4,,0,0,,south,AYO-2d37f
21,5,,0,0,,south,AYO-2d37f
22,6,,1,0,,south,AYO-2d37f
