,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-26f08
1,4,True,0,0,16,north,AYO-26f08
2,5,True,0,0,,north,AYO-26f08
3,6,True,0,0,,north,AYO-26f08
4,2,,0,0,,north,AYO-26f08
5,5,,0,0,,north,AYO-26f08
6,1,,0,0,,north,AYO-26f08
7,5,,0,0,,north,AYO-26f08
8,6,,0,0,,north,AYO-26f08
9,4,,0,0,,north,AYO-26f08
10,6,,0,0,,north,AYO-26f08
11,2,,0,0,,north,AYO-26f08
12,3,,0,0,,north,AYO-26f08
13,5,,0,0,,north,AYO-26f08
14,6,,0,0,,north,AYO-26f08
15,4,,1,0,,north,AYO-26f08
0,2,True,0,0,0,south,AYO-26f08
1,3,True,0,0,32,south,AYO-26f08
2,1,True,0,0,,south,AYO-26f08
3,6,True,0,0,,south,AYO-26f08
4,4,True,0,0,,south,AYO-26f08
5,3,True,0,0,,south,AYO-26f08
6,5,True,0,0,,south,AYO-26f08
7,4,True,0,0,,south,AYO-26f08
8,5,True,0,0,,south,AYO-26f08
9,2,,0,0,,south,AYO-26f08
10,4,,0,0,,south,AYO-26f08
11,5,,0,0,,south,AYO-26f08
12,6,,0,0,,south,AYO-26f08
13,3,,0,0,,south,AYO-26f08
14,5,,0,0,,south,AYO-26f08
15,6,,0,0,,south,AYO-26f08
16,4,,0,0,,south,AYO-26f08
17,5,,0,0,,south,AYO-26f08
18,6,,0,0,,south,AYO-26f08
19,1,,0,0,,south,AYO-26f08
