,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-ae6dc
1,4,True,0,0,16,north,AYO-ae6dc
2,5,True,0,0,,north,AYO-ae6dc
3,6,True,0,0,,north,AYO-ae6dc
4,2,,0,0,,north,AYO-ae6dc
5,5,,0,0,,north,AYO-ae6dc
6,3,,0,0,,north,AYO-ae6dc
7,4,,0,0,,north,AYO-ae6dc
8,6,,0,0,,north,AYO-ae6dc
9,1,,0,0,,north,AYO-ae6dc
10,5,,0,0,,north,AYO-ae6dc
11,6,,0,0,,north,AYO-ae6dc
12,2,,0,0,,north,AYO-ae6dc
0,2,True,0,0,0,south,AYO-ae6dc
1,3,True,0,0,32,south,AYO-ae6dc
2,1,True,0,0,,south,AYO-ae6dc
3,6,True,0,0,,south,AYO-ae6dc
4,4,True,0,0,,south,AYO-ae6dc
5,3,True,0,0,,south,AYO-ae6dc
6,5,True,0,0,,south,AYO-ae6dc
7,4,True,0,0,,south,AYO-ae6dc
8,5,,0,0,,south,AYO-ae6dc
9,2,,0,0,,south,AYO-ae6dc
10,3,,0,0,,south,AYO-ae6dc
11,5,,0,0,,south,AYO-ae6dc
12,6,,0,0,,south,AYO-ae6dc
13,4,,0,0,,south,AYO-ae6dc
14,6,,0,0,,south,AYO-ae6dc
15,5,,0,0,,south,AYO-ae6dc
16,6,,1,0,,south,AYO-ae6dc
