,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-1f9fb
1,4,True,0,0,23,north,AYO-1f9fb
2,5,True,0,0,,north,AYO-1f9fb
3,6,True,0,0,,north,AYO-1f9fb
4,1,True,0,0,,north,AYO-1f9fb
5,2,,0,0,,north,AYO-1f9fb
6,6,,0,0,,north,AYO-1f9fb
7,5,,0,0,,north,AYO-1f9fb
8,3,,0,0,,north,AYO-1f9fb
9,4,,0,0,,north,AYO-1f9fb
10,6,,0,0,,north,AYO-1f9fb
11,5,,0,0,,north,AYO-1f9fb
12,6,,1,0,,north,AYO-1f9fb
0,2,True,0,0,0,south,AYO-1f9fb
1,3,True,0,0,25,south,AYO-1f9fb
2,1,True,0,0,,south,AYO-1f9fb
3,6,True,0,0,,south,AYO-1f9fb
4,4,True,0,0,,south,AYO-1f9fb
5,3,True,0,0,,south,AYO-1f9fb
6,5,,0,0,,south,AYO-1f9fb
7,4,,0,0,,south,AYO-1f9fb
8,5,,0,0,,south,AYO-1f9fb
9,6,,0,0,,south,AYO-1f9fb
10,5,,0,0,,south,AYO-1f9fb
11,6,,0,0,,south,AYO-1f9fb
12,3,,0,0,,south,AYO-1f9fb
