,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-8d3fa
1,4,True,0,0,19,north,AYO-8d3fa
2,5,True,0,0,,north,AYO-8d3fa
3,6,True,0,0,,north,AYO-8d3fa
4,2,,0,0,,north,AYO-8d3fa
5,1,,0,0,,north,AYO-8d3fa
6,5,,0,0,,north,AYO-8d3fa
7,6,,0,0,,north,AYO-8d3fa
8,2,,0,0,,north,AYO-8d3fa
9,4,,0,0,,north,AYO-8d3fa
10,3,,0,0,,north,AYO-8d3fa
11,5,,0,0,,north,AYO-8d3fa
12,6,,0,0,,north,AYO-8d3fa
13,4,,1,0,,north,AYO-8d3fa
0,2,True,0,0,0,south,AYO-8d3fa
1,3,True,0,0,29,south,AYO-8d3fa
2,1,True,0,0,,south,AYO-8d3fa
3,6,True,0,0,,south,AYO-8d3fa
4,4,True,0,0,,south,AYO-8d3fa
5,3,True,0,0,,south,AYO-8d3fa
6,5,True,0,0,,south,AYO-8d3fa
7,4,True,0,0,,south,AYO-8d3fa
8,5,True,0,0,,south,AYO-8d3fa
9,2,,0,0,,south,AYO-8d3fa
10,6,,0,0,,south,AYO-8d3fa
11,5,,0,0,,south,AYO-8d3fa
12,6,,0,0,,south,AYO-8d3fa
13,4,,0,0,,south,AYO-8d3fa
14,6,,0,0,,south,AYO-8d3fa
15,3,,0,0,,south,AYO-8d3fa
16,5,,0,0,,south,AYO-8d3fa
17,6,,0,0,,south,AYO-8d3fa
