,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-157b7
1,4,True,0,0,13,north,AYO-157b7
2,5,True,0,0,,north,AYO-157b7
3,6,True,0,0,,north,AYO-157b7
4,2,,0,0,,north,AYO-157b7
5,3,,0,0,,north,AYO-157b7
6,1,,0,0,,north,AYO-157b7
7,4,,0,0,,north,AYO-157b7
8,6,,0,0,,north,AYO-157b7
9,5,,0,0,,north,AYO-157b7
10,6,,0,0,,north,AYO-157b7
11,3,,0,0,,north,AYO-157b7
12,2,,0,0,,north,AYO-157b7
13,3,,0,0,,north,AYO-157b7
0,2,True,0,0,0,south,AYO-157b7
1,3,True,0,0,35,south,AYO-157b7
2,1,True,0,0,,south,AYO-157b7
3,6,True,0,0,,south,AYO-157b7
4,4,True,0,0,,south,AYO-157b7
5,3,True,0,0,,south,AYO-157b7
6,5,True,0,0,,south,AYO-157b7
7,4,True,0,0,,south,AYO-157b7
8,5,True,0,0,,south,AYO-157b7
9,2,True,0,0,,south,AYO-157b7
10,6,,0,0,,south,AYO-157b7
11,5,,0,0,,south,AYO-157b7
12,6,,0,0,,south,AYO-157b7
13,1,,0,0,,south,AYO-157b7
14,3,,0,0,,south,AYO-157b7
15,5,,0,0,,south,AYO-157b7
16,4,,0,0,,south,AYO-157b7
17,2,,0,0,,south,AYO-157b7
18,5,,0,0,,south,AYO-157b7
19,6,,1,0,,south,AYO-157b7
