,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-1a1fa
1,4,True,0,0,19,north,AYO-1a1fa
2,5,True,0,0,,north,AYO-1a1fa
3,6,True,0,0,,north,AYO-1a1fa
4,2,,0,0,,north,AYO-1a1fa
5,3,,0,0,,north,AYO-1a1fa
6,4,,0,0,,north,AYO-1a1fa
7,5,,0,0,,north,AYO-1a1fa
8,6,,0,0,,north,AYO-1a1fa
9,1,,0,0,,north,AYO-1a1fa
10,3,,0,0,,north,AYO-1a1fa
11,4,,0,0,,north,AYO-1a1fa
12,6,,0,0,,north,AYO-1a1fa
13,2,,0,0,,north,AYO-1a1fa
14,5,,0,0,,north,AYO-1a1fa
0,2,True,0,0,0,south,AYO-1a1fa
1,3,True,0,0,29,south,AYO-1a1fa
2,1,True,0,0,,south,AYO-1a1fa
3,6,True,0,0,,south,AYO-1a1fa
4,4,True,0,0,,south,AYO-1a1fa
5,3,True,0,0,,south,AYO-1a1fa
6,5,True,0,0,,south,AYO-1a1fa
7,4,True,0,0,,south,AYO-1a1fa
8,5,True,0,0,,south,AYO-1a1fa
9,2,,0,0,,south,AYO-1a1fa
10,6,,0,0,,south,AYO-1a1fa
11,5,,0,0,,south,AYO-1a1fa
12,6,,0,0,,south,AYO-1a1fa
13,4,,0,0,,south,AYO-1a1fa
14,5,,0,0,,south,AYO-1a1fa
15,6,,0,0,,south,AYO-1a1fa
16,3,,0,0,,south,AYO-1a1fa
17,6,,0,0,,south,AYO-1a1fa
18,5,,0,0,,south,AYO-1a1fa
19,6,,1,0,,south,AYO-1a1fa
