,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-cc8a6
1,4,True,0,0,16,north,AYO-cc8a6
2,5,True,0,0,,north,AYO-cc8a6
3,6,,0,0,,north,AYO-cc8a6
4,2,,0,0,,north,AYO-cc8a6
5,5,,0,0,,north,AYO-cc8a6
6,4,,0,0,,north,AYO-cc8a6
7,1,,0,0,,north,AYO-cc8a6
8,5,,0,0,,north,AYO-cc8a6
9,6,,0,0,,north,AYO-cc8a6
10,2,,0,0,,north,AYO-cc8a6
11,3,,0,0,,north,AYO-cc8a6
0,2,True,0,0,0,south,AYO-cc8a6
1,3,True,0,0,32,south,AYO-cc8a6
2,1,True,0,0,,south,AYO-cc8a6
3,6,True,0,0,,south,AYO-cc8a6
4,4,True,0,0,,south,AYO-cc8a6
5,3,True,0,0,,south,AYO-cc8a6
6,5,True,0,0,,south,AYO-cc8a6
7,4,True,0,0,,south,AYO-cc8a6
8,5,,0,0,,south,AYO-cc8a6
9,2,,0,0,,south,AYO-cc8a6
10,3,,0,0,,south,AYO-cc8a6
11,5,,0,0,,south,AYO-cc8a6
12,6,,0,0,,south,AYO-cc8a6
13,4,,0,0,,south,AYO-cc8a6
14,6,,0,0,,south,AYO-cc8a6
15,5,,0,0,,south,AYO-cc8a6
16,6,,1,0,,south,AYO-cc8a6
