,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-7411f
1,4,True,0,0,18,north,AYO-7411f
2,5,True,0,0,,north,AYO-7411f
3,6,True,0,0,,north,AYO-7411f
4,2,True,0,0,,north,AYO-7411f
5,4,,0,0,,north,AYO-7411f
6,5,,0,0,,north,AYO-7411f
7,6,,0,0,,north,AYO-7411f
8,1,,0,0,,north,AYO-7411f
9,5,,0,0,,north,AYO-7411f
10,2,,0,0,,north,AYO-7411f
11,3,,0,0,,north,AYO-7411f
12,6,,0,0,,north,AYO-7411f
13,4,,0,0,,north,AYO-7411f
14,5,,0,0,,north,AYO-7411f
15,6,,1,0,,north,AYO-7411f
0,2,True,0,0,0,south,AYO-7411f
1,3,True,0,0,30,south,AYO-7411f
2,1,True,0,0,,south,AYO-7411f
3,6,True,0,0,,south,AYO-7411f
4,4,True,0,0,,south,AYO-7411f
5,3,True,0,0,,south,AYO-7411f
6,5,True,0,0,,south,AYO-7411f
7,4,True,0,0,,south,AYO-7411f
8,5,True,0,0,,south,AYO-7411f
9,2,True,0,0,,south,AYO-7411f
10,6,True,0,0,,south,AYO-7411f
11,5,,0,0,,south,AYO-7411f
12,6,,0,0,,south,AYO-7411f
13,4,,0,0,,south,AYO-7411f
14,6,,0,0,,south,AYO-7411f
15,5,,0,0,,south,AYO-7411f
16,6,,0,0,,south,AYO-7411f
17,2,,0,0,,south,AYO-7411f
18,3,,0,0,,south,AYO-7411f
19,6,,0,0,,south,AYO-7411f
20,4,,0,0,,south,AYO-7411f
