,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-dab1c
1,4,True,0,0,23,north,AYO-dab1c
2,5,True,0,0,,north,AYO-dab1c
3,6,True,0,0,,north,AYO-dab1c
4,1,True,0,0,,north,AYO-dab1c
5,2,,0,0,,north,AYO-dab1c
6,6,,0,0,,north,AYO-dab1c
7,4,,0,0,,north,AYO-dab1c
8,5,,0,0,,north,AYO-dab1c
9,6,,0,0,,north,AYO-dab1c
10,3,,0,0,,north,AYO-dab1c
11,4,,0,0,,north,AYO-dab1c
12,5,,0,0,,north,AYO-dab1c
13,6,,1,0,,north,AYO-dab1c
0,2,True,0,0,0,south,AYO-dab1c
1,3,True,0,0,25,south,AYO-dab1c
2,1,True,0,0,,south,AYO-dab1c
3,6,True,0,0,,south,AYO-dab1c
4,4,True,0,0,,south,AYO-dab1c
5,3,True,0,0,,south,AYO-dab1c
6,5,True,0,0,,south,AYO-dab1c
7,4,,0,0,,south,AYO-dab1c
8,5,,0,0,,south,AYO-dab1c
9,6,,0,0,,south,AYO-dab1c
10,4,,0,0,,south,AYO-dab1c
11,5,,0,0,,south,AYO-dab1c
12,6,,0,0,,south,AYO-dab1c
13,3,,0,0,,south,AYO-dab1c
14,5,,0,0,,south,AYO-dab1c
