,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-de963
1,4,True,0,0,23,north,AYO-de963
2,5,True,0,0,,north,AYO-de963
3,6,True,0,0,,north,AYO-de963
4,1,True,0,0,,north,AYO-de963
5,2,,0,0,,north,AYO-de963
6,6,,0,0,,north,AYO-de963
7,4,,0,0,,north,AYO-de963
8,5,,0,0,,north,AYO-de963
9,6,,0,0,,north,AYO-de963
10,3,,0,0,,north,AYO-de963
11,4,,0,0,,north,AYO-de963
12,5,,0,0,,north,AYO-de963
13,6,,1,0,,north,AYO-de963
0,2,True,0,0,0,south,AYO-de963
1,3,True,0,0,25,south,AYO-de963
2,1,True,0,0,,south,AYO-de963
3,6,True,0,0,,south,AYO-de963
4,4,True,0,0,,south,AYO-de963
5,3,True,0,0,,south,AYO-de963
6,5,True,0,0,,south,AYO-de963
7,4,,0,0,,south,AYO-de963
8,5,,0,0,,south,AYO-de963
9,6,,0,0,,south,AYO-de963
10,4,,0,0,,south,AYO-de963
11,5,,0,0,,south,AYO-de963
12,6,,0,0,,south,AYO-de963
13,3,,0,0,,south,AYO-de963
14,5,,0,0,,south,AYO-de963
