,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-20b98
1,4,True,0,0,16,north,AYO-20b98
2,5,True,0,0,,north,AYO-20b98
3,6,,0,0,,north,AYO-20b98
4,2,,0,0,,north,AYO-20b98
5,5,,0,0,,north,AYO-20b98
6,4,,0,0,,north,AYO-20b98
7,1,,0,0,,north,AYO-20b98
8,5,,0,0,,north,AYO-20b98
9,6,,0,0,,north,AYO-20b98
10,3,,0,0,,north,AYO-20b98
11,2,,0,0,,north,AYO-20b98
0,2,True,0,0,0,south,AYO-20b98
1,3,True,0,0,32,south,AYO-20b98
2,1,True,0,0,,south,AYO-20b98
3,6,True,0,0,,south,AYO-20b98
4,4,True,0,0,,south,AYO-20b98
5,3,True,0,0,,south,AYO-20b98
6,5,True,0,0,,south,AYO-20b98
7,4,True,0,0,,south,AYO-20b98
8,5,,0,0,,south,AYO-20b98
9,2,,0,0,,south,AYO-20b98
10,3,,0,0,,south,AYO-20b98
11,5,,0,0,,south,AYO-20b98
12,6,,0,0,,south,AYO-20b98
13,4,,0,0,,south,AYO-20b98
14,6,,0,0,,south,AYO-20b98
15,5,,0,0,,south,AYO-20b98
16,6,,1,0,,south,AYO-20b98
