,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-c0754
1,4,True,0,0,15,north,AYO-c0754
2,5,True,0,0,,north,AYO-c0754
3,6,True,0,0,,north,AYO-c0754
4,1,True,0,0,,north,AYO-c0754
5,2,,0,0,,north,AYO-c0754
6,6,,0,0,,north,AYO-c0754
7,3,,0,0,,north,AYO-c0754
8,4,,0,0,,north,AYO-c0754
9,6,,0,0,,north,AYO-c0754
10,5,,0,0,,north,AYO-c0754
11,6,,1,0,,north,AYO-c0754
0,2,True,0,0,0,south,AYO-c0754
1,3,True,0,0,33,south,AYO-c0754
2,1,True,0,0,,south,AYO-c0754
3,6,True,0,0,,south,AYO-c0754
4,4,True,0,0,,south,AYO-c0754
5,3,,0,0,,south,AYO-c0754
6,5,,0,0,,south,AYO-c0754
7,4,,0,0,,south,AYO-c0754
8,5,,0,0,,south,AYO-c0754
9,6,,0,0,,south,AYO-c0754
10,5,,0,0,,south,AYO-c0754
