,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-1e8d5
1,4,True,0,0,17,north,AYO-1e8d5
2,5,True,0,0,,north,AYO-1e8d5
3,6,True,0,0,,north,AYO-1e8d5
4,2,True,0,0,,north,AYO-1e8d5
5,4,True,0,0,,north,AYO-1e8d5
6,5,,0,0,,north,AYO-1e8d5
7,6,,0,0,,north,AYO-1e8d5
8,1,,0,0,,north,AYO-1e8d5
9,3,,0,0,,north,AYO-1e8d5
10,5,,0,0,,north,AYO-1e8d5
11,6,,0,0,,north,AYO-1e8d5
12,2,,0,0,,north,AYO-1e8d5
13,4,,0,0,,north,AYO-1e8d5
14,6,,0,0,,north,AYO-1e8d5
15,5,,0,0,,north,AYO-1e8d5
16,6,,1,0,,north,AYO-1e8d5
0,2,True,0,0,0,south,AYO-1e8d5
1,3,True,0,0,31,south,AYO-1e8d5
2,1,True,0,0,,south,AYO-1e8d5
3,6,True,0,0,,south,AYO-1e8d5
4,4,True,0,0,,south,AYO-1e8d5
5,3,True,0,0,,south,AYO-1e8d5
6,5,True,0,0,,south,AYO-1e8d5
7,4,,0,0,,south,AYO-1e8d5
8,5,,0,0,,south,AYO-1e8d5
9,2,,0,0,,south,AYO-1e8d5
10,6,,0,0,,south,AYO-1e8d5
11,5,,0,0,,south,AYO-1e8d5
12,6,,0,0,,south,AYO-1e8d5
13,3,,0,0,,south,AYO-1e8d5
14,2,,0,0,,south,AYO-1e8d5
15,3,,0,0,,south,AYO-1e8d5
16,5,,0,0,,south,AYO-1e8d5
