,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-3d817
1,4,True,0,0,15,north,AYO-3d817
2,5,True,0,0,,north,AYO-3d817
3,6,True,0,0,,north,AYO-3d817
4,1,True,0,0,,north,AYO-3d817
5,2,,0,0,,north,AYO-3d817
6,6,,0,0,,north,AYO-3d817
7,3,,0,0,,north,AYO-3d817
8,4,,0,0,,north,AYO-3d817
9,6,,0,0,,north,AYO-3d817
10,5,,0,0,,north,AYO-3d817
11,6,,1,0,,north,AYO-3d817
0,2,True,0,0,0,south,AYO-3d817
1,3,True,0,0,33,south,AYO-3d817
2,1,True,0,0,,south,AYO-3d817
3,6,True,0,0,,south,AYO-3d817
4,4,True,0,0,,south,AYO-3d817
5,3,,0,0,,south,AYO-3d817
6,5,,0,0,,south,AYO-3d817
7,4,,0,0,,south,AYO-3d817
8,5,,0,0,,south,AYO-3d817
9,6,,0,0,,south,AYO-3d817
10,4,,0,0,,south,AYO-3d817
