,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-8802f
1,4,True,0,0,21,north,AYO-8802f
2,5,True,0,0,,north,AYO-8802f
3,6,True,0,0,,north,AYO-8802f
4,2,,0,0,,north,AYO-8802f
5,4,,0,0,,north,AYO-8802f
6,5,,0,0,,north,AYO-8802f
7,6,,0,0,,north,AYO-8802f
8,1,,0,0,,north,AYO-8802f
9,5,,0,0,,north,AYO-8802f
10,3,,0,0,,north,AYO-8802f
11,4,,0,0,,north,AYO-8802f
12,2,,0,0,,north,AYO-8802f
13,5,,0,0,,north,AYO-8802f
14,6,,0,0,,north,AYO-8802f
15,3,,0,0,,north,AYO-8802f
16,4,,0,0,,north,AYO-8802f
0,2,True,0,0,0,south,AYO-8802f
1,3,True,0,0,27,south,AYO-8802f
2,1,True,0,0,,south,AYO-8802f
3,6,True,0,0,,south,AYO-8802f
4,4,True,0,0,,south,AYO-8802f
5,3,True,0,0,,south,AYO-8802f
6,5,True,0,0,,south,AYO-8802f
7,4,True,0,0,,south,AYO-8802f
8,5,True,0,0,,south,AYO-8802f
9,2,,0,0,,south,AYO-8802f
10,6,,0,0,,south,AYO-8802f
11,5,,0,0,,south,AYO-8802f
12,6,,0,0,,south,AYO-8802f
13,3,,0,0,,south,AYO-8802f
14,4,,0,0,,south,AYO-8802f
15,5,,0,0,,south,AYO-8802f
16,6,,0,0,,south,AYO-8802f
17,2,,0,0,,south,AYO-8802f
18,3,,0,0,,south,AYO-8802f
19,4,,0,0,,south,AYO-8802f
20,5,,0,0,,south,AYO-8802f
21,6,,1,0,,south,AYO-8802f
